,Name,Birth_Year,Death_Year,Age,Birthplace,Death_Location,Group
227,Elizabeth Litchfield,1744,1835,91,Unknown,"Scituate, MA",Women
228,Sarah Whitcomb,1744,1827,83,Unknown,"Scituate, MA",Women
229,Reuben Wing,1745,1825,80,"Plymouth Cty, MA","Monmouth, ME",Men
230,Priscilla Burgess,1746,1811,65,Unknown,"Wayne, ME",Women
231,John Day,1749,1827,78,"Groton, MA",Unknown,Men
232,Elizabeth Joslin,1753,1829,76,"Lancaster, MA","Winchendon, MA",Women
233,Henry Robinson,1765,1838,73,Unknown,"Padiham, Eng.",Men
234,Stephen Brown,1767,1832,65,Unknown,"Troy, VT",Men
235,Mary Lancaster,1771,1817,46,Unknown,"Padiham, Eng.",Women
236,Elizabeth Day,1771,1842,71,"Winchendon, MA","Troy, VT",Women
237,Abigail Litchfield,1776,1856,80,"Scituate, Plymouth, MA","Springfield, VT",Women
238,Josiah Litchfield,1777,1849,72,"Scituate, Plymouth,MA","Springfield, VT",Men
239,Joseph Wing,1779,1836,57,"Livermore, ME","Troy, VT",Men
240,John Estabrook,1785,1865,80,"Washington, NH","Rockingham, VT",Men
241,Belinda Wheelock,1790,1855,65,"Rockingham, VT",""".              """,Women
242,James Watson,1793,1851,58,"Thorne, Eng.",Unknown,Men
243,Sarah Brown,1800,1884,84,Unknown,"Troy, VT",Women
244,James Robinson,1806,1868,62,"Padiham, Eng.","Caledonia, WI",Men
245,Daniel Litchfield,1810,1897,87,"Springfield, VT","Brownington, VT",Men
246,Luthera Estabrook,1811,1902,91,"Chester, VT","Brownington, VT",Women
247,Jane E. Watson,1813,1898,85,"Allerston, Eng","Portage, WI",Women
248,George Wallace,1822,1863,41,England,"Caledonia, WI",Men
249,Stephen Brown Wing,1823,1864,41,"Stansstead, Quebec             Fair Oaks, VA. civil war","Fair Oaks, VA",Men
250,Elizabeth Robinson,1830,1881,51,Canada,"Caledonia, WI",Women
251,Luthera Abigail Litchfield,1840,1915,75,"Charleston, VT",Pardeeville,Women
252,Frank Ennis Wing,1861,1922,61,"Troy, Vt",Pardeeville Wi,Men
253,Georgiana Wallace,1861,1935,74,"Toronto, Canada","Marcellon, WI",Women
